title,url,score,author,time
Solar Energy Saves Europeans $135M a Day,https://cleantechnica.com/2026/06/08/solar-energy-saves-europeans-135-million-a-day/,103 points,vrganj,2026-06-09T15:09:38 1781017778
Making Graphics Like it's 1993,https://staniks.github.io/articles/catlantean-3d-blog-1/,390 points,sklopec,2026-06-09T10:46:14 1781001974
GentleOS – Classic operating system with a lovely retro GUI,https://github.com/luke8086/gentleos32,317 points,tekkertje,2026-06-09T09:50:30 1780998630
Microsoft's open source tools were hacked to steal passwords of AI developers,https://techcrunch.com/2026/06/08/microsofts-open-source-tools-were-hacked-to-steal-passwords-of-ai-developers/,375 points,raffael_de,2026-06-09T07:33:16 1780990396
Cleaning up after AI rockstar developers,https://www.codingwithjesse.com/blog/rockstar-developers/,282 points,BrunoBernardino,2026-06-09T09:10:10 1780996210
Can LLMs Beat Classical Hyperparameter Optimization Algorithms?,https://arxiv.org/abs/2603.24647,27 points,galsapir,2026-06-09T15:01:15 1781017275
Unified Controllable and Faithful Text-to-CAD Generation with LLMs,https://arxiv.org/abs/2604.19773,22 points,PaulHoule,2026-06-09T14:04:54 1781013894
OpenCV 5 Is Here: The Biggest Leap in Years for Computer Vision,https://opencv.org/opencv-5/,481 points,ternaus,2026-06-06T06:02:28 1780725748
"Show HN: Gravity – interactive solar-system simulator, from Newton to Einstein",https://qunabu.github.io/Gravity/,65 points,qunabu,2026-06-09T11:46:40 1781005600
Is Grep All You Need? How Agent Harnesses Reshape Agentic Search,https://arxiv.org/abs/2605.15184,27 points,Anon84,2026-06-09T13:27:03 1781011623
The Effective Sample Size,https://alex.smola.org/posts/40-effective-sample-size/,9 points,jxmorris12,2026-06-04T18:47:13 1780598833
Forever Young: how one molecule can lock plants in a youthful state (2025),https://omnia.sas.upenn.edu/story/biologist-scott-poethig-plants-never-age,95 points,bryanrasmussen,2026-06-09T08:25:36 1780993536
Using Optical Aberrations to Distinguish Real Astronomical Transients,https://arxiv.org/abs/2606.08319,9 points,solarist,2026-06-09T15:12:30 1781017950
Emerge Career (YC S22) Is Hiring a Founding Growth Marketer,https://www.ycombinator.com/companies/emerge-career/jobs/v0S1AEG-founding-growth-marketer,0 points,Unknown,2026-06-09T12:01:09 1781006469
Apple reveals new AI architecture built around Google Gemini models,https://www.macrumors.com/2026/06/08/apple-reveals-new-ai-architecture/,682 points,unclefuzzy,2026-06-08T19:14:47 1780946087
Adopting the Parallel DWARF linker in dsymutil,https://jonasdevlieghere.com/post/dsymutil-parallel-linker/,19 points,JDevlieghere,2026-06-06T17:16:12 1780766172
An introduction to functional analysis for science and engineering,https://arxiv.org/abs/1904.02539,81 points,Anon84,2026-06-07T17:01:34 1780851694
Thi.ng – open-source building blocks for computational design and art,https://thi.ng,133 points,nmstoker,2026-06-07T19:25:24 1780860324
WWDC 2026: Apple is Folding,https://cupertinolens.com/2026/06/09/wwdc-2026-apple-is-folding/,134 points,brandonb,2026-06-09T13:56:38 1781013398
Corrupting a ZFS File on Purpose,https://oshogbo.com/blog/90/,57 points,zdw,2026-06-06T18:34:03 1780770843
xAI is looking more like a datacentre REIT than a frontier lab,https://martinalderson.com/posts/xais-new-rental-business/,644 points,martinald,2026-06-08T15:13:43 1780931623
Show HN: Performative-UI – A react component library of design tropes,https://vorpus.github.io/performativeUI/,1092 points,lizhang,2026-06-08T14:05:16 1780927516
FCC Wants to Kill Burner Phones by Forcing Telecoms to Get All Customers' IDs,https://www.404media.co/fcc-wants-to-kill-burner-phones-by-forcing-telecoms-to-get-all-customers-ids/,18 points,berlianta,2026-06-09T15:21:46 1781018506
Job: Head of Stonehenge,https://www.english-heritage.org.uk/about/our-people/careers-with-us/job-search/default-job-page/?jobRef=16449,203 points,mooreds,2026-06-09T03:20:40 1780975240
The beauty and simplicity of the good old C-style void* in C++,https://giodicanio.com/2026/06/05/how-to-declare-a-c-plus-plus-function-that-takes-a-blob-of-memory/,52 points,movd128,2026-06-06T18:21:51 1780770111
Siri AI,https://www.apple.com/apple-intelligence/,640 points,0xedb,2026-06-08T18:17:53 1780942673
"EU-banned pesticides found in rice, tea and spices",https://www.foodwatch.org/en/eu-banned-pesticides-found-in-rice-tea-and-spices,486 points,john-titor,2026-06-08T15:59:04 1780934344
Eagle Computer: The rise and fall of an early PC clone,https://dfarq.homeip.net/eagle-computer-the-rise-and-fall-of-an-early-pc-clone/,40 points,giuliomagnifico,2026-06-09T09:17:41 1780996661
Porting the ThinkPad X61 to Coreboot,https://blog.aheymans.xyz/post/thinkpad_x61/,154 points,walterbell,2026-06-09T04:06:14 1780977974
MiMo-v2.5-Pro-UltraSpeed: 1T model with 1000 tokens per second,https://mimo.xiaomi.com/blog/mimo-tilert-1000tps,603 points,gainsurier,2026-06-08T15:27:33 1780932453
